Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
89, 124 | dz = 1.323 | sum = -54.44 | DD | 11.636
90, 103 | dz = 1.172 | sum = -55.96 | DD | 12.994
90, 126 | dz = 0.369 | diff = -69.58 | SD | 8.415
91, 92 | dz = 1.398 | sum = -55.69 | DD | 12.993
91, 95 | dz = 0.000 | sum = -91.91 | DD | 8.633
91, 100 | dz = 0.080 | diff = -15.86 | SS | 14.971
92, 95 | dz = 0.092 | diff = -7.49 | SS | 10.368
93, 128 | dz = 1.033 | sum = -199.52 | DD | 13.342
93, 136 | dz = 1.262 | sum = 54.49 | DD | 16.705
94, 158 | dz = 1.281 | sum = 50.07 | DD | 3.786
96, 111 | dz = 0.108 | diff = 16.74 | SS | 10.606
96, 156 | dz = 1.211 | sum = -201.33 | DD | 7.779
98, 121 | dz = 0.093 | diff = 14.94 | SS | 15.219
98, 141 | dz = 0.928 | sum = 128.81 | DS | 16.431
99, 154 | dz = 1.211 | sum = -56.82 | DD | 16.018
100, 122 | dz = 0.093 | diff = -12.58 | SS | 8.564
101, 116 | dz = 0.280 | diff = -65.70 | SD | 19.761
101, 153 | dz = 0.559 | sum = -63.27 | DD | 1.846
102, 146 | dz = 0.550 | diff = 17.44 | SS | 7.797
103, 151 | dz = 0.745 | sum = 20.80 | DS | 9.791
104, 120 | dz = 0.096 | sum = -207.27 | DD | 9.570
105, 137 | dz = 0.099 | diff = 14.38 | SS | 13.086
105, 147 | dz = 1.304 | sum = -198.60 | DD | 10.002
106, 131 | dz = 0.003 | diff = 13.62 | SS | 14.439
107, 137 | dz = 0.578 | sum = 21.64 | DS | 7.999
108, 117 | dz = 0.184 | diff = -15.79 | SS | 7.830
108, 123 | dz = 0.184 | diff = -4.79 | SS | 7.565
108, 144 | dz = 1.213 | sum = -55.04 | DD | 8.972
109, 134 | dz = 0.188 | diff = -100.14 | SD | 4.937
109, 153 | dz = 0.468 | sum = 45.06 | DD | 7.009
110, 114 | dz = 0.093 | diff = -15.45 | SS | 8.884
110, 135 | dz = 1.118 | sum = -55.76 | DD | 9.083
110, 152 | dz = 0.000 | diff = 16.13 | SS | 8.918
112, 151 | dz = 0.270 | diff = -63.11 | SD | 8.128
113, 128 | dz = 1.117 | sum = 22.17 | DS | 5.001
114, 135 | dz = 1.211 | sum = -197.72 | DD | 10.376
115, 149 | dz = 0.650 | sum = 20.23 | DS | 8.769
117, 123 | dz = 0.000 | diff = 11.00 | SS | 14.525
117, 124 | dz = 1.117 | sum = -55.06 | DD | 13.000
117, 144 | dz = 1.397 | sum = -199.72 | DD | 8.738
118, 125 | dz = 0.836 | sum = 21.66 | DS | 11.347
118, 156 | dz = 0.559 | sum = 19.44 | DS | 13.969
119, 134 | dz = 0.434 | diff = -90.04 | SD | 0.433
120, 146 | dz = 1.213 | sum = -55.02 | DD | 9.988
121, 140 | dz = 1.211 | sum = -199.74 | DD | 8.115
121, 141 | dz = 0.655 | sum = 20.64 | DS | 8.630
125, 156 | dz = 0.095 | diff = -15.86 | SS | 11.664
127, 131 | dz = 1.211 | sum = -56.66 | DD | 3.037
129, 143 | dz = 0.001 | diff = -16.30 | SS | 9.999
130, 150 | dz = 0.447 | sum = 127.89 | DS | 3.889
133, 141 | dz = 1.397 | sum = -52.91 | DD | 0.081
133, 150 | dz = 1.026 | sum = -58.03 | DD | 8.435
134, 153 | dz = 0.279 | sum = 13.63 | DS | 18.639
137, 147 | dz = 1.403 | sum = -55.00 | DD | 8.986
138, 139 | dz = 0.166 | diff = 14.62 | SS | 12.183
138, 157 | dz = 0.277 | sum = 48.59 | DD | 10.676
147, 152 | dz = 0.070 | diff = 17.26 | SS | 15.695
147, 158 | dz = 1.117 | sum = -200.27 | DD | 13.167
151, 159 | dz = 0.073 | diff = 18.61 | SS | 10.499
152, 158 | dz = 1.186 | sum = -56.08 | DD | 13.891
Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 19 | dz = 1.366 | sum = 49.85 | DD | 5.480
 0, 48 | dz = 1.303 | sum = -195.74 | DD | 7.222
 0, 81 | dz = 0.093 | diff = 39.19 | SD | 9.347
 0, 93 | dz = 1.304 | sum = -198.31 | DD | 9.547
 0, 136 | dz = 1.209 | sum = -56.01 | DD | 10.988
 0, 145 | dz = 0.809 | diff = -199.61 | SD | 8.905
 1,  6 | dz = 0.868 | sum = 129.87 | DS | 10.855
 1,  9 | dz = 0.005 | diff = 13.52 | SS | 14.059
 1, 23 | dz = 1.211 | sum = -55.22 | DD | 14.812
 1, 51 | dz = 0.651 | sum = 19.27 | DS | 13.933
 1, 133 | dz = 1.304 | sum = -198.46 | DD | 11.000
 2, 128 | dz = 0.001 | diff = -17.58 | SS | 11.917
 2, 132 | dz = 1.304 | sum = 52.63 | DD | 15.010
 2, 155 | dz = 1.304 | sum = -199.42 | DD | 9.486
 3,  9 | dz = 0.085 | diff = 17.43 | SS | 11.894
 3, 64 | dz = 1.210 | sum = -55.61 | DD | 13.004
 3, 66 | dz = 1.229 | sum = -56.82 | DD | 11.964
 3, 114 | dz = 1.211 | sum = -199.76 | DD | 9.390
 3, 133 | dz = 1.224 | sum = 53.97 | DD | 15.258
 3, 134 | dz = 0.373 | diff = -63.99 | SD | 11.411
 4, 32 | dz = 0.096 | diff = 11.85 | SS | 8.030
 4, 100 | dz = 0.184 | diff = -7.92 | SS | 8.011
 4, 115 | dz = 0.063 | diff = 14.94 | SS | 10.290
 4, 121 | dz = 1.392 | sum = -57.07 | DD | 10.002
 5, 22 | dz = 0.001 | diff = -13.70 | SS | 8.068
 5, 27 | dz = 0.829 | sum = 128.94 | DS | 12.012
 5, 114 | dz = 1.117 | sum = -57.69 | DD | 8.784
 5, 151 | dz = 0.288 | diff = -90.59 | SD | 10.045
 5, 158 | dz = 0.662 | sum = 49.43 | DD | 0.430
 6, 38 | dz = 1.212 | sum = -54.36 | DD | 16.982
 6, 49 | dz = 0.374 | diff = -69.79 | SD | 13.527
 6, 51 | dz = 0.029 | diff = 15.30 | SS | 17.281
 6, 80 | dz = 1.305 | sum = -200.25 | DD | 13.632
 7, 34 | dz = 1.223 | sum = 55.69 | DD | 16.999
 7, 40 | dz = 0.559 | sum = 20.20 | DS | 10.211
 7, 76 | dz = 0.015 | diff = -5.34 | SS | 16.000
 7, 111 | dz = 1.227 | sum = -56.35 | DD | 14.576
 8, 60 | dz = 0.093 | diff = -4.70 | SS | 15.337
 8, 86 | dz = 1.115 | sum = -56.36 | DD | 15.000
 8, 152 | dz = 1.209 | sum = -197.56 | DD | 12.338
 9, 27 | dz = 0.650 | sum = 19.71 | DS | 6.980
 9, 51 | dz = 0.845 | sum = 128.56 | DS | 4.611
 9, 114 | dz = 1.296 | sum = -54.03 | DD | 10.972
 9, 133 | dz = 1.309 | sum = -56.00 | DD | 8.989
10, 53 | dz = 1.304 | sum = -55.00 | DD | 6.003
10, 77 | dz = 0.660 | sum = 19.12 | DS | 8.189
10, 87 | dz = 0.000 | diff = -10.82 | SS | 7.284
10, 120 | dz = 1.020 | sum = 128.94 | DS | 5.219
10, 124 | dz = 1.397 | sum = -191.22 | DD | 3.512
