Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 3, 143 | dz = 0.000 | diff = 0.33 | SS | 0.446
 3, 153 | dz = 0.000 | diff = -0.43 | SS | 1.232
 4, 41 | dz = 0.000 | diff = 0.29 | SS | 19.806
 4, 49 | dz = 0.000 | diff = -0.73 | SS | 0.519
 4, 119 | dz = 0.000 | diff = -0.68 | SS | 3.001
 4, 122 | dz = 0.000 | diff = -0.84 | SS | 1.305
 4, 144 | dz = 0.000 | diff = -0.42 | SS | 0.582
 5, 10 | dz = 0.000 | diff = -0.14 | SS | 2.858
 5, 22 | dz = 0.000 | diff = -0.10 | SS | 1.191
 5, 64 | dz = 0.000 | diff = 0.01 | SS | 19.997
 5, 75 | dz = 0.000 | diff = 0.66 | SS | 1.943
 5, 97 | dz = 0.000 | diff = 0.57 | SS | 0.440
 6, 32 | dz = 0.000 | diff = -0.05 | SS | 0.999
 6, 34 | dz = 0.000 | diff = 0.06 | SS | 0.754
 6, 52 | dz = 0.000 | diff = -0.22 | SS | 1.213
 6, 94 | dz = 0.000 | diff = -0.25 | SS | 0.959
 6, 113 | dz = 0.000 | diff = 0.05 | SS | 1.421
 7, 62 | dz = 0.000 | diff = 0.35 | SS | 2.334
 7, 81 | dz = 0.001 | diff = 0.10 | SS | 1.206
 7, 127 | dz = 0.002 | diff = -3.62 | SS | 3.699
